"","Count","LBA","LF","DIST_YEAR","DIST_TYPE","TYPE_CONFIDENCE","SEVERITY","SOURCE1","SOURCE2","SOURCE3","SOURCE4","DESCRIPTION","DIST_GROUP","DIST_FIRE","hectares"
"1",8851938361,9999,0,2011,"No Disturbance",NA,NA,NA,NA,NA,"N/A","Background","No Disturbance","No Disturbance",796674452.49
"2",23009248,1,0,2011,"No Disturbance",NA,NA,NA,NA,NA,"N/A","Background","No Disturbance","No Disturbance",2070832.32
"3",298345,9999,702,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",26851.05
"4",1358740,9999,701,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",122286.6
"5",325150,9999,703,2011,"Unknown","N/A","High","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",29263.5
"6",1259502,9999,1131,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",113355.18
"7",273630,9999,1132,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",24626.7
"8",272034,9999,1133,2011,"Unknown","N/A","High","MIICA","PAD","dNBR","SMARTFire","Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",24483.06
"9",6595752,9999,1111,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR","SMARTFire","MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",593617.68
"10",2964293,9999,1113,2011,"Unknown","N/A","High","MIICA","PAD","dNBR","SMARTFire","MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",266786.37
"11",2124260,9999,1112,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR","SMARTFire","MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",191183.4
"12",1530536,9999,1102,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR",NA,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).","Unknown","Disturbance-Not Fire",137748.24
"13",2167043,9999,1103,2011,"Unknown","N/A","High","MIICA","PAD","dNBR",NA,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).","Unknown","Disturbance-Not Fire",195033.87
"14",5513931,9999,1101,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR",NA,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).","Unknown","Disturbance-Not Fire",496253.79
"15",114579,9999,601,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",10312.11
"16",30398,9999,602,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",2735.82
"17",491608,1,1113,2011,"Unknown","N/A","High","MIICA","PAD","dNBR","SMARTFire","MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",44244.72
"18",1308186,1,1111,2011,"Unknown","N/A","Low","MIICA","PAD","dNBR","SMARTFire","MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",117736.74
"19",381431,1,1112,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR","SMARTFire","MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point.","Unknown","Disturbance-Not Fire",34328.79
"20",3222858,9999,1071,2011,"Herbicide","Medium","Low","Refresh Events",NA,NA,NA,"Within Herbicide Refresh Event perimeter, but no change detected by MIICA. dNBR severity typically not used due to low confidence for disturbance type.  Severity default of low.","Biological/Chemical","Disturbance-Not Fire",290057.22
"21",6228,9999,871,2011,"Herbicide","Low","Low","Refresh Events","MIICA","dNBR",NA,"Herbicide causality likely, but could be other causality type than assigned (MIICA pixels within Herbicide Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",560.52
"22",25516,9999,571,2011,"Herbicide","Medium","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",2296.44
"23",1112457,9999,1031,2011,"Chemical","Medium","Low","Refresh Events",NA,NA,NA,"Within Chemical Refresh Event perimeter, but no change detected by MIICA. dNBR severity typically not used due to low confidence for disturbance type.  Severity default of low.","Biological/Chemical","Disturbance-Not Fire",100121.13
"24",12530,9999,531,2011,"Chemical","Medium","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Chemical Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.","Biological/Chemical","Disturbance-Not Fire",1127.7
