Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
190,81468,9999,21,21,2016,Fire,High,Unburned/Low,BARC,NA,NA,NA,BARC mapped fire.
191,5219,1,21,21,2016,Fire,High,Unburned/Low,BARC,NA,NA,NA,BARC mapped fire.
192,18980,9999,22,22,2016,Fire,High,Low,BARC,NA,NA,NA,BARC mapped fire.
193,19646,1,23,23,2016,Fire,High,Medium,BARC,NA,NA,NA,BARC mapped fire.
194,16422,1,22,22,2016,Fire,High,Low,BARC,NA,NA,NA,BARC mapped fire.
198,896,9999,23,23,2016,Fire,High,Medium,BARC,NA,NA,NA,BARC mapped fire.
199,4853,1,24,24,2016,Fire,High,High,BARC,NA,NA,NA,BARC mapped fire.
221,22,9999,24,24,2016,Fire,High,High,BARC,NA,NA,NA,BARC mapped fire.
5,1711277,9999,701,701,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
6,473132,9999,703,703,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
7,377124,9999,702,702,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
8,15434479,9999,1101,1101,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0). "
9,6218380,9999,1103,1103,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
10,4452692,9999,1102,1102,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
11,132303,1,1103,1103,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
12,321346,1,1113,1113,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
13,221446,1,1112,1112,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
14,3404656,1,1111,1111,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
15,394517,9999,601,601,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
16,93658,9999,602,602,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
17,102493,9999,603,603,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
18,64427,1,701,701,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
19,987079,9999,941,941,2016,Thinning,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Thinning LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
20,639255,9999,441,441,2016,Thinning,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Thinning LANDFIRE Events Geodatabase polygon.
21,53044,9999,741,741,2016,Thinning,Medium,Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Thinning causality likely, but could be other causality type than assigned (Image-based change detection pixels within Thinning LANDFIRE Events Geodatabase 500 m buffer). "
22,12932,9999,743,743,2016,Thinning,Medium,High,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Thinning causality likely, but could be other causality type than assigned (Image-based change detection pixels within Thinning LANDFIRE Events Geodatabase 500 m buffer). "
23,13178,9999,742,742,2016,Thinning,Medium,Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Thinning causality likely, but could be other causality type than assigned (Image-based change detection pixels within Thinning LANDFIRE Events Geodatabase 500 m buffer). "
24,72133,9999,443,443,2016,Thinning,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Thinning LANDFIRE Events Geodatabase polygon.
25,80631,9999,442,442,2016,Thinning,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Thinning LANDFIRE Events Geodatabase polygon.
26,3245741,9999,991,991,2016,Prescribed Fire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
27,577235,1,991,991,2016,Prescribed Fire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Prescribed Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
28,1282296,9999,491,491,2016,Prescribed Fire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Prescribed Fire LANDFIRE Events Geodatabase polygon.
29,658981,9999,1111,1111,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
30,109566,9999,1113,1113,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
31,62550,9999,1112,1112,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
32,17858,1,702,702,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
33,15572,1,703,703,2016,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
34,81047,1,1102,1102,2016,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
35,195196,1,1101,1101,2016,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0). "
36,1225349,9999,961,961,2016,Other Mechanical,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
37,567266,9999,461,461,2016,Other Mechanical,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Other Mechanical LANDFIRE Events Geodatabase polygon.
38,35209,1,971,971,2016,Wildfire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
39,44359,1,472,472,2016,Wildfire,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
40,362323,9999,471,471,2016,Wildfire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
41,111271,1,471,471,2016,Wildfire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
42,57966,1,473,473,2016,Wildfire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
43,387251,9999,971,971,2016,Wildfire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
44,57221,9999,472,472,2016,Wildfire,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
45,140671,9999,473,473,2016,Wildfire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
46,175408,9999,501,501,2016,Wildland Fire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
47,284974,9999,1001,1001,2016,Wildland Fire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection so default severity of low
57,23766,9999,502,502,2016,Wildland Fire,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
58,15608,9999,503,503,2016,Wildland Fire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
59,8222,9999,801,801,2016,Wildland Fire,Medium,Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). "
60,126042,1,501,501,2016,Wildland Fire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
61,53172,1,503,503,2016,Wildland Fire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
62,33352,1,502,502,2016,Wildland Fire,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
63,932,1,802,802,2016,Wildland Fire,Medium,Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). "
64,1276,9999,802,802,2016,Wildland Fire,Medium,Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). "
65,1762,9999,803,803,2016,Wildland Fire,Medium,High,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). "
66,1496,1,803,803,2016,Wildland Fire,Medium,High,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). "
